Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,Tweet Date,Tweet time,Char Count,Word Count,Contains D,Contains H,Is Even Impressions,Is Odd Date,Even Date,Is Business Hours,Is Working Hours,Is Weekday,Is Weekend,Day of Week,Day Number,Month,Month Number,Year Month,Has App Opens,Has Media,Engagement Category,Tweet Category,Interaction Filter,Total Engagement,Is Jun Aug 2020,Avg Engagement Rate
id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat tellus analytics social media marketing digital content engagement growth strategy platform audience reach brand awareness campaign,6672567125560790,2020-06-04 02:08 +0000,1643,45,0.0273889227023737,5,0,75,30,0,20,1,0,0,0,0,0,0,132,5,2020-06-04,07:38:00,250,35,False,False,0,0,1,0,0,1,0,Thursday,3,June,6,2020-06,Without App Opens,With Media,Medium Impressions,Tweets with Media,1,80,1,0.027388922702373707
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibz ligula nec sem duis aliquam convallis nunc proin at turpis a #analytics,8265456713789040,2020-06-13 21:24 +0000,5135,16,0.0031158714703018,0,13,0,14,16,10,0,0,0,0,0,0,0,77,0,2020-06-14,02:54:00,138,21,False,False,0,0,1,0,0,0,1,Sunday,6,June,6,2020-06,Without App Opens,Without Media,High Impressions,Tweets with Links,1,0,1,0.00311587147030185
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu #analytics,281117346800427,2020-06-04 06:50 +0000,274,13,0.0474452554744525,0,8,19,0,0,0,23,0,0,0,0,0,0,0,80,2020-06-04,12:20:00,162,25,False,False,1,0,1,0,1,1,0,Thursday,3,June,6,2020-06,Without App Opens,With Media,Low Impressions,Tweets with Media,0,19,1,0.04744525547445255
aenean lectus pellentesque eget nunc donec quis orci eget orci vezicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt vulputate analytics social media marketing digital content engagement growtz strategy platform audience reacz brand awareness,7758025943576750,2020-08-11 09:46 +0000,3344,162,0.048444976076555,32,6,0,0,0,0,0,0,2,0,0,0,0,0,45,2020-08-11,15:16:00,308,42,False,False,1,1,0,1,1,1,0,Tuesday,1,August,8,2020-08,With App Opens,With Media,High Impressions,Tweets with Media,0,32,1,0.04844497607655503
sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue nonummy analytics social media marketing digital content engagement growtz strategy platform audience,6131837006729570,2020-07-05 19:03 +0000,8886,13,0.0014629754670267,38,19,0,1,0,18,0,0,0,0,0,0,0,0,0,2020-07-06,00:33:00,294,42,False,False,1,0,1,0,0,1,0,Monday,0,July,7,2020-07,Without App Opens,Without Media,High Impressions,Tweets with Hashtags,1,38,1,0.0014629754670267836
consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at ut analytics social media marketing digital content engagement growth strategy platform audience reach,7158204930285070,2020-12-23 11:06 +0000,6129,399,0.0651003426333822,7,20,0,12,39,6,19,0,4,0,0,0,0,0,37,2020-12-23,16:36:00,297,42,False,False,0,1,0,1,1,1,0,Wednesday,2,December,12,2020-12,With App Opens,With Media,High Impressions,Tweets with Media,1,7,0,0.06510034263338228
morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est pzasellus sit scelerisque analytics social media marketing digital,8412656725709000,2020-07-14 10:09 +0000,9043,218,0.0241070441225257,0,8,26,24,27,0,2,0,0,0,0,0,0,0,0,2020-07-14,15:39:00,155,22,False,False,0,0,1,1,1,1,0,Tuesday,1,July,7,2020-07,Without App Opens,Without Media,High Impressions,Tweets with Links,1,26,1,0.02410704412252571
eget massa tempor convallis nulla neque libero convallis eget eleifenx luctus ultricies eu nibz quisque ix pellentesque analytics social mexia marketing xigital content engagement growtz strategy platform auxience reacz branx awareness campaign zttp://example.com,1697739445805240,2020-07-14 19:52 +0000,7804,470,0.0602255253716043,0,16,47,26,0,13,20,0,5,0,0,0,0,0,51,2020-07-15,01:22:00,263,33,False,False,1,1,0,0,0,1,0,Wednesday,2,July,7,2020-07,With App Opens,With Media,High Impressions,Tweets with Media,1,47,1,0.060225525371604305
tempus sit amet sem fusce consequat nulla nisl nunc nisl xuis bibenxum felis sex interxum venenatis turpis enim blanxit mi in http://example.com,5739997848071200,2020-06-16 15:29 +0000,3609,113,0.0313106123579939,0,0,63,5,0,0,1,0,4,0,0,0,0,153,0,2020-06-16,20:59:00,144,22,False,False,0,0,1,0,0,1,0,Tuesday,1,June,6,2020-06,With App Opens,Without Media,High Impressions,Other,1,63,1,0.03131061235799391
ultrices erat tortor sollicituxin mi sit amet lobortis sapien sapien non mi integer ac neque xuis bibenxum morbi non zttp://example.com,7941923809016870,2020-08-20 13:38 +0000,3372,34,0.0100830367734282,2,0,0,0,0,0,9,0,0,0,0,0,0,424,0,2020-08-20,19:08:00,135,20,False,False,1,0,1,0,0,1,0,Thursday,3,August,8,2020-08,Without App Opens,Without Media,High Impressions,Other,0,2,1,0.010083036773428233
